# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 13 Apr 2026 03:01:08 +0200
#
# IP	number of (black)lists
#
85.217.140.51	5
85.217.149.0	5
85.217.149.5	5
85.217.149.6	5
85.217.149.7	5
85.217.149.9	5
85.217.149.11	5
85.217.149.17	5
85.217.149.18	5
85.217.149.20	5
85.217.149.21	5
85.217.149.23	5
85.217.149.28	5
85.217.149.29	5
85.217.149.30	5
85.217.149.32	5
85.217.149.33	5
85.217.149.34	5
85.217.149.36	5
85.217.149.38	5
85.217.149.42	5
85.217.149.45	5
85.217.149.46	5
85.217.149.47	5
85.217.149.48	5
85.217.149.50	5
85.217.149.51	5
85.217.149.57	5
85.217.149.58	5
85.217.149.61	5
85.217.149.62	5
85.217.149.66	5
85.217.149.68	5
85.217.149.69	5
85.217.149.70	5
85.217.149.74	5
86.54.31.38	5
86.54.31.42	5
87.103.126.54	5
87.106.35.227	5
87.228.70.20	5
87.251.64.141	5
89.39.121.13	5
89.218.69.66	5
89.248.168.227	5
91.196.152.16	5
91.196.152.21	5
91.196.152.24	5
91.196.152.26	5
91.196.152.29	5
91.196.152.108	5
91.196.152.109	5
91.196.152.113	5
91.196.152.119	5
91.196.152.162	5
91.196.152.163	5
91.196.152.235	5
91.230.168.60	5
91.230.168.66	5
91.230.168.67	5
91.230.168.73	5
91.230.168.75	5
91.230.168.76	5
91.230.168.80	5
91.230.168.84	5
91.230.168.95	5
91.230.168.97	5
91.230.168.102	5
91.230.168.104	5
91.230.168.107	5
91.230.168.149	5
91.230.168.151	5
91.230.168.163	5
91.230.168.167	5
91.230.168.172	5
91.230.168.173	5
91.230.168.177	5
91.230.168.196	5
91.230.168.205	5
91.230.168.213	5
91.231.89.30	5
91.231.89.40	5
91.231.89.43	5
91.231.89.47	5
91.231.89.49	5
91.231.89.56	5
91.231.89.57	5
91.231.89.61	5
91.231.89.81	5
91.231.89.181	5
91.231.89.184	5
91.231.89.189	5
91.231.89.198	5
91.231.89.216	5
91.231.89.220	5
91.231.89.221	5
92.27.101.99	5
92.118.39.56	5
